text1,text2,label
A male and female team of rollerskaters are in costume and performing in a competition.,Skateboarders perform in a competition.,0
The soil they walk on looks very dry.,Rain is coating everything in sight.,0
A blond man with a beard operates a camera while a young boy in a green shirt stands beside him holding a microphone in his hand.,"Man and boy standing in line at a water park, waiting to get on a ride.",0
three people standing in front of what looks like a cement railing.,The women wait in the kitchen.,0
A girl is playing in a house between a window and a stack of shelves.,There is a girl playing inside a house.,1
"Five girls in swimsuits, are seen from the back, jumping into the water.",Five girls are jumping on a trampoline.,0
A woman in a striped outfit on a bike.,Woman in a striped outfit alone can ride a bike,0
A man in black is sitting at a table taking a photo of an older woman on a patio.,A man is reading a news paper.,0
Here is a picture of a man kissing his wife at a park and his wife is taking a picture of them kissing.,The couple are riding an airplane.,0
"Two men wearing traditional Scottish attire, hold bagpipes in their hands.",Two men are holding instruments.,1
"2 women walk down the sidewalk wearing gloves, face masks and carrying brooms.",The women are going shopping,0
A girl does gymnastics on a balance beam on the beach with an amusement park and people in the background.,The girl performs on the beach,1
Two construction workers are sitting up on the side of a building.,The workers move to finish their building.,0
Female rollerskaters are taking a break and having a conversation.,Male rollerskaters in pink talk.,0
Two young girls are wrapped in Christmas tinsel.,The girls are covered in ribbons.,0
"A man helping a young child up to a train engine, while a woman climbs up the steps behind them.",Young girl jumping on a toy train in the park,0
Skier jumps high in front of trees in snowy winter landscape.,There is someone wearing skis.,1
Young girl in ponytail pets furry cat,A fog is descending from the mountains.,0
A man in a maroon sweatshirt holding two large black duffel bags with an older man in the background walking with a cane on the street.,There is a woman in a green shirt holding two coconuts.,0
A man is climbing up a wall,A man is climbing,1
"Two female are walking their dogs, and the male is interested in the dogs.",The females are walking cats.,0
A kid in a red sweatshirt is reaching to hand something to a man in a white shirt,A child wearing red is handing something to a man dressed in white.,1
"A bald man with a beard is playing a saxophone in a dimly-lit room, with pictures on the wall behind him.",A bald man has a beard.,1
A man riding a horse as it jumps into the air while an audience watches.,A man is riding a bull.,0
A man in a white t-shirt watching a dog do a back flip,The man is watching a dog.,1
